Group,PT_A3A,PT_A3B,CA2_Q1_12,CA2_Q.2_16,CA2_Q3_16,CA2_Q4_12,CA2_Q5_8,CA2_Q6_8,CA2_Q7_12,CA2_Q8_16,CA2_Result
A,100,100,12,16,14,9,4,0,0,16,71
A,NA,96,12,16,11,6,0,0,12,5.33,62.33
A,93.8,100,12,16,14,12,4,0,0,16,74
A,96.3,82.7,12,16,16,12,6,0,12,5.33,79.33
A,88.2,63.3,0,9,9,12,2,0,0,10.67,42.67
A,100,100,12,15,14,12,6,0,0,10.67,69.67
A,90.5,81.3,4,10,11,9,2,8,0,0,44
A,NA,NA,0,8,9,12,4,0,0,5.33,38.33
A,NA,82.4,12,16,16,12,6,0,0,10.67,72.67
A,NA,NA,12,14,10,12,6,0,0,5.33,59.33
A,94.4,100,12,16,14,12,4,0,0,10.67,68.67
A,94.1,100,8,16,16,12,4,8,0,10.67,74.67
A,NA,NA,8,15,11,9,4,0,0,5.33,52.33
A,94.4,97.3,12,16,16,3,2,0,0,10.67,59.67
A,93.9,54.7,8,13,15,12,4,0,0,10.67,62.67
A,65.2,38.7,0,9,7,3,4,0,0,10.67,33.67
A,75.2,81.2,4,8,7,12,0,0,12,5.33,48.33
A,85.2,86,12,16,16,12,4,0,0,10.67,70.67
A,100,100,12,16,16,12,6,0,0,10.67,72.67
A,88.5,100,12,16,12,12,4,0,0,5.33,61.33
A,87,80,12,16,15,12,4,0,0,10.67,69.67
A,83.6,94.4,0,14,11,9,0,0,0,10.67,44.67
A,96.3,100,12,16,16,12,4,0,0,5.33,65.33
A,95.9,82,8,15,15,12,4,0,0,16,70
A,NA,NA,0,9,9,12,4,0,0,10.67,44.67
A,NA,NA,8,11,12,12,4,0,0,5.33,52.33
A,83.3,88,12,16,16,12,6,8,0,5.33,75.33
A,NA,NA,0,7,8,12,4,0,0,10.67,41.67
A,100,100,12,16,16,12,6,0,12,10.67,84.67
