Group,CA2_Q1_12,CA2_Q.2_16,CA2_Q3_16,CA2_Q4_12,CA2_Q5_8,CA2_Q6_8,CA2_Q7_12,CA2_Q8_16,CA2_Result
B,8,11,9,3,4,0,12,10.67,57.67
B,4,11,12,12,4,0,0,10.67,53.67
B,0,11,5,12,4,0,0,10.67,42.67
B,12,16,11,12,6,0,0,10.67,67.67
B,8,10,13,12,4,0,12,10.67,69.67
B,4,16,6,12,4,0,0,5.33,47.33
B,4,16,14,9,6,0,0,10.67,59.67
B,0,9,13,12,4,8,12,10.67,68.67
B,8,16,14,12,4,0,0,5.33,59.33
B,8,13,13,9,6,8,0,16,73
B,4,16,15,12,4,0,0,5.33,56.33
B,4,10,8,12,4,0,0,10.67,48.67
B,0,15,15,12,4,8,0,0,54
B,12,16,16,6,4,0,0,0,54
B,8,16,13,12,4,0,0,5.33,58.33
B,12,16,16,12,6,0,0,5.33,67.33
B,4,16,14,9,0,0,12,10.67,65.67
B,8,13,10,12,6,8,0,16,73
B,12,13,12,12,2,0,0,10.67,61.67
B,8,14,11,12,4,0,0,5.33,54.33
B,8,16,9,12,2,0,0,5.33,52.33
B,0,13,15,9,0,8,0,0,45
B,12,16,14,3,6,0,0,0,51
B,12,16,15,12,4,0,0,5.33,64.33
B,8,16,14,9,4,8,0,5.33,64.33
B,12,16,13,6,0,0,12,10.67,69.67
B,8,11,12,3,4,0,0,10.67,48.67
B,4,16,16,12,0,0,0,5.33,53.33
B,12,16,16,12,6,0,0,10.67,72.67
B,4,16,14,12,4,8,0,5.33,63.33
B,12,16,12,12,2,0,0,16,70
B,8,13,12,12,6,0,0,5.33,56.33
B,8,16,14,9,2,0,0,0,49
B,12,9,12,12,0,0,0,5.33,50.33
